iter	Passed	Remaining
0	114	114016
1	116	58168
2	117	39070
3	118	29542
4	119	23816
5	120	20006
6	122	17419
7	123	15342
8	124	13721
9	125	12465
10	126	11404
11	128	10566
12	130	9920
13	131	9272
14	132	8701
15	133	8221
16	134	7789
17	136	7446
18	137	7103
19	138	6785
20	139	6495
21	140	6227
22	140	5986
23	142	5797
24	143	5611
25	144	5419
26	145	5239
27	146	5097
28	147	4940
29	148	4803
30	150	4703
31	151	4586
32	152	4469
33	154	4376
34	154	4272
35	156	4182
36	158	4121
37	159	4029
38	160	3944
39	161	3880
40	162	3805
41	165	3771
42	166	3701
43	167	3632
44	168	3570
45	169	3524
46	172	3490
47	173	3432
48	173	3375
49	174	3318
50	175	3264
51	176	3214
52	178	3186
53	179	3146
54	180	3100
55	181	3062
56	182	3023
57	183	2983
58	185	2957
59	186	2917
60	187	2879
61	188	2849
62	189	2815
63	190	2782
64	191	2757
65	193	2735
66	194	2702
67	195	2674
68	196	2647
69	197	2620
70	199	2605
71	200	2583
72	201	2559
73	202	2531
74	203	2511
75	204	2487
76	206	2471
77	207	2453
78	208	2430
79	209	2406
80	210	2388
81	211	2368
82	212	2342
83	213	2328
84	215	2316
85	216	2299
86	217	2282
87	218	2262
88	219	2246
89	220	2233
90	222	2221
91	223	2205
92	224	2188
93	225	2170
94	226	2158
95	227	2144
96	229	2136
97	230	2122
98	231	2105
99	232	2089
100	232	2073
101	233	2059
102	235	2052
103	236	2041
104	237	2026
105	238	2012
106	239	1998
107	240	1986
108	241	1974
109	243	1968
110	244	1957
111	245	1944
112	246	1931
113	246	1917
114	247	1904
115	248	1893
116	249	1885
117	251	1881
118	252	1869
119	253	1857
120	254	1845
121	254	1834
122	256	1825
123	257	1818
124	258	1811
125	259	1801
126	260	1789
127	261	1778
128	261	1768
129	262	1758
130	263	1750
131	265	1747
132	266	1738
133	267	1728
134	268	1718
135	269	1709
136	270	1701
137	271	1693
138	273	1691
139	274	1685
140	275	1676
141	275	1666
142	276	1657
143	277	1650
144	280	1655
145	282	1650
146	282	1641
147	283	1634
148	285	1630
149	286	1624
150	288	1621
151	289	1614
152	290	1606
153	290	1598
154	291	1591
155	293	1586
156	295	1584
157	296	1581
158	297	1573
159	298	1568
160	299	1559
161	301	1557
162	303	1556
163	304	1551
164	305	1544
165	306	1537
166	306	1531
167	308	1528
168	310	1527
169	311	1522
170	312	1515
171	313	1509
172	314	1502
173	315	1499
174	317	1497
175	318	1492
176	319	1486
177	320	1479
178	321	1473
179	322	1468
180	323	1465
181	325	1462
182	326	1456
183	327	1450
184	327	1444
185	329	1440
186	330	1435
187	331	1433
188	332	1428
189	333	1422
190	334	1417
191	335	1411
192	336	1405
193	337	1400
194	338	1399
195	339	1393
196	340	1388
197	341	1383
198	342	1379
199	343	1373
200	344	1368
201	346	1367
202	347	1363
203	348	1358
204	348	1353
205	350	1349
206	350	1344
207	351	1340
208	353	1338
209	354	1334
210	355	1329
211	356	1325
212	357	1320
213	358	1316
214	359	1312
215	361	1310
216	361	1306
217	362	1301
218	363	1297
219	364	1292
220	365	1288
221	366	1283
222	367	1282
223	369	1278
224	369	1274
225	370	1269
226	371	1265
227	372	1261
228	373	1256
229	374	1254
230	376	1251
231	376	1247
232	377	1243
233	378	1239
234	379	1235
235	380	1231
236	381	1227
237	382	1225
238	383	1222
239	384	1218
240	385	1213
241	386	1210
242	387	1206
243	388	1202
244	389	1199
245	390	1198
246	391	1194
247	392	1190
248	393	1187
249	394	1183
250	395	1179
251	396	1175
252	397	1174
253	398	1171
254	399	1167
255	400	1164
256	401	1161
257	402	1157
258	403	1153
259	405	1152
260	406	1150
261	407	1146
262	408	1144
263	409	1141
264	410	1138
265	412	1137
266	413	1133
267	413	1130
268	415	1127
269	415	1124
270	416	1120
271	417	1118
272	419	1117
273	420	1113
274	421	1110
275	422	1107
276	422	1104
277	423	1100
278	424	1097
279	426	1097
280	427	1093
281	428	1090
282	429	1087
283	430	1085
284	431	1081
285	432	1078
286	434	1078
287	435	1075
288	435	1072
289	437	1070
290	438	1067
291	438	1064
292	440	1062
293	442	1061
294	442	1058
295	443	1055
296	445	1053
297	445	1050
298	446	1047
299	448	1046
300	449	1044
301	450	1041
302	451	1038
303	452	1035
304	453	1032
305	454	1029
306	455	1028
307	456	1026
308	457	1023
309	458	1020
310	459	1017
311	460	1014
312	460	1011
313	461	1009
314	463	1007
315	464	1005
316	465	1002
317	466	1000
318	467	997
319	468	994
320	468	992
321	470	990
322	471	988
323	472	985
324	473	982
325	474	980
326	474	977
327	475	974
328	476	972
329	478	971
330	479	968
331	480	966
332	481	963
333	482	961
334	482	958
335	483	955
336	485	954
337	486	952
338	487	949
339	487	947
340	489	945
341	489	942
342	490	940
343	492	938
344	493	937
345	494	934
346	495	932
347	496	931
348	497	928
349	499	927
350	501	927
351	502	925
352	503	923
353	505	922
354	506	920
355	508	920
356	509	918
357	510	915
358	511	912
359	512	910
360	512	908
361	514	907
362	515	905
363	517	903
364	519	903
365	520	901
366	521	899
367	523	898
368	524	896
369	525	894
370	526	893
371	527	890
372	528	888
373	531	888
374	532	886
375	532	884
376	533	882
377	535	880
378	536	878
379	537	877
380	538	875
381	539	873
382	540	871
383	541	869
384	542	867
385	544	866
386	545	864
387	546	861
388	547	859
389	548	858
390	549	855
391	550	853
392	552	852
393	553	850
394	554	848
395	554	846
396	555	844
397	556	842
398	557	840
399	559	839
400	560	837
401	561	834
402	562	832
403	563	830
404	563	828
405	564	826
406	565	824
407	567	823
408	568	820
409	568	818
410	569	816
411	570	814
412	571	812
413	572	810
414	573	809
415	574	807
416	575	804
417	576	802
418	577	801
419	578	798
420	579	797
421	581	796
422	582	794
423	583	792
424	584	790
425	585	788
426	586	786
427	587	784
428	588	783
429	589	781
430	590	779
431	591	777
432	592	775
433	593	773
434	593	771
435	594	769
436	596	768
437	597	766
438	598	764
439	599	762
440	600	760
441	600	758
442	601	756
443	602	754
444	604	753
445	604	751
446	605	749
447	606	747
448	607	745
449	608	743
450	609	741
451	610	740
452	611	738
453	612	736
454	613	734
455	614	733
456	615	731
457	616	729
458	617	727
459	618	726
460	619	724
461	620	722
462	621	721
463	622	718
464	623	716
465	624	715
466	625	714
467	626	712
468	627	710
469	628	708
470	629	707
471	630	705
472	631	703
473	632	701
474	633	700
475	634	698
476	635	696
477	636	694
478	637	692
479	637	690
480	638	689
481	640	688
482	641	686
483	642	684
484	643	683
485	644	681
486	645	679
487	646	677
488	648	677
489	649	676
490	650	674
491	651	672
492	652	671
493	653	669
494	656	669
495	657	667
496	658	666
497	659	664
498	660	663
499	661	661
500	663	661
501	664	659
502	665	657
503	667	656
504	668	655
505	670	654
506	672	653
507	673	651
508	674	650
509	675	649
510	677	648
511	679	647
512	680	646
513	682	644
514	683	643
515	684	642
516	685	640
517	686	639
518	687	637
519	688	635
520	689	633
521	690	632
522	692	631
523	693	630
524	694	628
525	695	626
526	696	625
